"","Typ","Namn","Address4","Address5","RT90x","RT90y","WGS84x","WGS84y"
"569","Ombud","Coop Nära Ankarsrum","ANKARSRUM","Kalmar län",6430667.464,1511519.279,58.000000519799,15.9999996190602
"570","Ombud","Hjorteds Handelsträdgård AB","HJORTED","Kalmar län",6388784.16,1529821.66,57.6231105477151,16.304291637889
"571","Ombud","Totebo Lanthandel AB","TOTEBO","Kalmar län",6389652,1522717,57.6313150362989,16.1854755678653
"572","Ombud","Blankaholms Lanthandel","BLANKAHOLM","Kalmar län",6385260,1542692,57.5904379523229,16.51904871356
"573","Ombud","Handlarn Gullringen","GULLRINGEN","Kalmar län",6408392.889,1494626.353,57.8001215312997,15.7148326289936
"574","Ombud","Tempo Tuna","VIMMERBY","Kalmar län",6381350,1516850,57.5570286896682,16.0866933067684
"575","Ombud","ICA Nära Byxelkrok","BYXELKROK","Kalmar län",6356024,1572471,57.3241919621467,17.0082300020651
"576","Ombud","ICA Nära Böda","LÖTTORP","Kalmar län",6346924,1575889,57.241944077597,17.0621678416087
"577","Ombud","Löttorpshallen","LÖTTORP","Kalmar län",6338370,1571772,57.1658123897441,16.9915317261558
"578","Ombud","ICA Nyströms","FÅRÖ","Gotlands län",6432355,1702859,57.9691097405386,19.2336843087767
"579","Ombud","ICA Supermarket Bunge","FÅRÖSUND","Gotlands län",6420047,1692834,57.8632297766926,19.0545899983272
"580","Ombud","Stenkyrka Affären AB","TINGSTÄDE","Gotlands län",6411571.334,1660999.363,57.7998006486275,18.5131995563749
"581","Ombud","Tempo Katthammarsvik","KATTHAMMARSVIK","Gotlands län",6370834,1682345,57.4263742724948,18.8410582142869
"582","Ombud","Klinte Kiosk & Spel","KLINTEHAMN","Gotlands län",6364963,1643993,57.3874550548764,18.199821294834
"583","Ombud","Ljugarns Handel","LJUGARN","Gotlands län",6360520,1674185,57.337076115319,18.6981099632429
"584","Ombud","Hoburgshallen","BURGSVIK","Gotlands län",6325582,1650111,57.032190406183,18.2777199688488
"585","Ombud","Ica Nära Torhallen","TORHAMN","Blekinge län",6218533,1501944,56.0952235584706,15.8364855811791
"586","Ombud","Sturköhallen","STURKÖ","Blekinge län",6220627,1491753,56.1139615328478,15.6726824894481
"587","Ombud","Ica Nära Drottningskär","DROTTNINGSKÄR","Blekinge län",6220598,1484679,56.1135257671612,15.5589722981556
"588","Ombud","Ica Nära Senoren","RAMDALA","Blekinge län",6222340,1495837,56.1293997413816,15.7383045678765
"589","Ombud","Tempo Holmsjö","HOLMSJÖ","Blekinge län",6253283,1485097,56.4070778139963,15.5638427187408
"590","Ombud","Tempo Tving","TVING","Blekinge län",6242623,1478688,56.3110981797541,15.4608974473664
"591","Ombud","Coop Nära Hasslö","HASSLÖ","Blekinge län",6220806,1479532,56.1152004711101,15.4762217903462
"592","Ombud","Ica Nära Backaryd","BACKARYD","Blekinge län",6246908,1459610,56.3483356569708,15.152004425527
"593","Ombud","ICA Nära Bräkne-Hoby","BRÄKNE-HOBY","Blekinge län",6234059,1457291,56.2327451304187,15.1165823479214
"594","Ombud","Matöppet Hällevik","SÖLVESBORG","Blekinge län",6209929.45,1431095.69,56.0130004932908,14.7004994044453
"595","Ombud","ICA Supermarket Brösarp","BRÖSARP","Skåne län",6178558,1393325,55.7244492208705,14.1075053194948
